x, y
4.4943, 33.97126
4.73192, 27.31008
4.38813, 30.95329
4.27287, 23.93075
4.56656, 19.88688
3.84568, 46.71458
3.64112, 45.79051
3.13988, 42.50024
2.98522, 41.32454
2.71716, 38.08684
2.89614, 36.51253
3.15004, 33.10946
2.36646, 36.2609
2.32282, 32.72768
1.91172, 34.06441
1.79327, 35.66604
1.51342, 35.25542
2.16519, 23.53213
1.50309, 30.36302
3.74546, 22.95436
3.77848, 20.86786
3.84698, 20.67085
3.85271, 18.18471
4.05276, 18.18139
4.08041, 18.85129
3.62912, 19.78506
3.50191, 20.27249
3.5627, 21.19656
3.52937, 21.8417
3.28784, 19.3969
3.39917, 18.41618
3.20201, 20.84311
3.27705, 16.59355
3.32755, 15.74298
3.32359, 15.14173
3.0868, 16.5272
3.08428, 17.01667
2.89514, 16.80792
2.89234, 15.76059
2.81767, 14.64563
2.73063, 17.38696
2.67285, 16.52031
2.54629, 18.84465
2.49689, 17.7866
2.58962, 15.3145
2.64686, 15.38825
2.48216, 15.26142
2.43218, 15.82847
2.32295, 15.25427
2.25388, 16.92097
2.10601, 17.76236
2.08793, 19.14222
1.82973, 18.5055
1.9457, 17.14861
1.95088, 16.51317
1.93378, 15.68632
2.07685, 14.83064
2.09636, 14.30494
1.81077, 15.55337
1.79085, 15.94688
1.66847, 17.86138
1.66333, 20.18189
1.6477, 16.79159
1.65181, 13.86242
1.53961, 14.16049
1.50401, 14.64384
1.52094, 16.47616
1.40567, 17.0404
1.25184, 17.30658
1.37593, 14.95493
1.29891, 13.6062
1.27912, 13.15068
1.24307, 14.95033
1.25988, 15.4791
1.12873, 16.73799
1.0071, 18.17399
0.84743, 16.18447
0.90833, 15.38774
0.9448, 14.92175
0.99042, 15.05803
1.05872, 14.69182
1.0629, 13.80194
1.16349, 13.55746
0.96487, 13.92367
0.73441, 14.26359
0.8598, 13.80066
0.85844, 11.35306
0.81023, 12.6191
0.78136, 13.2428
0.69009, 12.91589
0.70409, 12.10947
0.76913, 11.64348
0.67797, 9.77058
0.57191, 10.73574
0.60379, 11.86473
0.64835, 11.00778
0.51759, 10.06865
0.68892, 8.41318
0.62528, 7.87599
0.60798, 8.66991
0.50951, 8.89219
0.45831, 8.44253
0.51322, 7.67285
0.56836, 6.53875
0.51995, 6.08271
0.3823, 7.50748
0.43905, 7.33037
0.35368, 6.77736
0.29604, 6.55125
0.23046, 6.05234
0.17006, 5.78107
0.08548, 5.95868
0.05139, 6.40196
