File,Folder,Fs,NumChannels,Channel,Dur_ms,tL_ms,tR_ms,fAM_Hz,fAM_kHz,PeakProminence,EnvLP_Hz,Presence_RMS,Fmax_kHz,AM_Method,Tau_xcorr_ms,Tau_cep_ms,Tau_ripple_ms,Tau_cons_ms,OverlapFlag,nCorrPeaks,DurInfl_ms,fRipple_Hz,fRipple_kHz,DurCorr_ms
Call_01.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,1,5.015625,10.21875,15.234375,2625,2.625,0.252944810769521,5000,0.000646813484381958,11,welch,0.479166666666667,0.833333333333333,0.468864468864469,0.479166666666667,1,7,0.479166666666667,2086.95652173913,2.08695652173913,4.53645833333333
Call_01.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,2,3.27083333333333,7.96354166666667,11.234375,2671.875,2.671875,0.176721638317882,5000,0.00139560943184193,51,welch,0.484375,0.208333333333333,1.93939393939394,NaN,0,12,NaN,NaN,NaN,3.27083333333333
Call_01.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,3,3.921875,8.32291666666667,12.2447916666667,2109.375,2.109375,0.282378346933946,5000,0.000826209653730997,52,welch,0.369791666666667,1.109375,1.93939393939394,NaN,0,9,NaN,NaN,NaN,3.921875
Call_01.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,4,4.38020833333333,10.1979166666667,14.578125,1781.25,1.78125,0.337905827082016,5000,0.00067613848088637,55,welch,0.317708333333333,0.317708333333333,1.93939393939394,0.317708333333333,1,9,0.317708333333333,3147.54098360656,3.14754098360656,4.0625
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,1,4.10416666666667,11.46875,15.5729166666667,2718.75,2.71875,0.256754634158651,5000,0.000937888459208271,55,welch,0.53125,0.208333333333333,0.547008547008547,0.53125,1,6,0.53125,1882.35294117647,1.88235294117647,3.57291666666667
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,2,3.578125,8.13020833333333,11.7083333333333,2859.375,2.859375,0.182718750118235,5000,0.00171989423181486,50,welch,0.572916666666667,0.572916666666667,0.568888888888889,0.572916666666667,1,11,0.572916666666667,1745.45454545455,1.74545454545455,3.00520833333333
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,3,3.671875,9.06770833333333,12.7395833333333,2203.125,2.203125,0.254054742447427,5000,0.00105070641745091,49,welch,0.432291666666667,0.432291666666667,0.453900709219858,0.432291666666667,1,7,0.432291666666667,2313.25301204819,2.31325301204819,3.23958333333333
Call_02.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,4,3.796875,10.8125,14.609375,1921.875,1.921875,0.277898839152755,5000,0.00110455142412231,53,welch,0.380208333333333,0.40625,1.93939393939394,0.40625,1,7,0.40625,2461.53846153846,2.46153846153846,3.390625
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,1,3.88541666666667,12.1979166666667,16.0833333333333,2953.125,2.953125,0.31347961827031,5000,0.00149399711545248,54,welch,0.598958333333333,0.427083333333333,0.60952380952381,0.598958333333333,1,6,0.598958333333333,1669.5652173913,1.6695652173913,3.28645833333334
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,2,3.625,8.38541666666667,12.0104166666667,3140.625,3.140625,0.220007247764318,5000,0.00268361768767046,50,welch,0.651041666666667,0.901041666666667,0.63681592039801,0.651041666666667,1,13,0.651041666666667,1536,1.536,2.97395833333334
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,3,3.52083333333333,9.99479166666667,13.515625,2390.625,2.390625,0.243687929465212,5000,0.00178281960560637,50,welch,0.489583333333333,0.442708333333333,0.507936507936508,0.489583333333333,1,6,0.489583333333333,2042.55319148936,2.04255319148936,3.03125
Call_04.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,4,3.52604166666667,11.1354166666667,14.6614583333333,2156.25,2.15625,0.313532761283318,5000,0.00194376627528787,52,welch,0.432291666666667,0.609375,0.453900709219858,0.453900709219858,1,7,0.453900709219858,2203.125,2.203125,3.07214095744681
Call_05.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,1,3.70833333333333,11.28125,14.9895833333333,3468.75,3.46875,0.148302342285243,5000,0.00133025199292888,54,welch,0.609375,0.609375,0.618357487922705,0.609375,1,7,0.609375,1641.02564102564,1.64102564102564,3.09895833333333
Call_05.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,2,3.390625,7.48958333333333,10.8802083333333,3703.125,3.703125,0.125982492579676,5000,0.00261633458092332,50,welch,0.619791666666667,0.229166666666667,0.646464646464647,0.619791666666667,1,10,0.619791666666667,1613.44537815126,1.61344537815126,2.77083333333333
Call_05.wav,/Users/ravi/Documents/projects/ripples/code/data/20250817/BAT002_Analysis/segment_01,192000,4,3,3.38541666666667,9,12.3854166666667,2859.375,2.859375,0.157383112482041,5000,0.00141829557616501,51,welch,0.494791666666667,0.390625,0.514056224899598,0.494791666666667,1,7,0.494791666666667,2021.05263157895,2.02105263157895,2.890625
